Año,Grupo Compañía,Pasillo,Fabricante,Pasajeros
2015,"VUELING AIRLINES, S.A.",Pasillo único,Otros,33483
2016,AIR EUROPA,Doble pasillo,Airbus,3512681
2016,AIR EUROPA,Doble pasillo,Boeing,299279
2016,AIR EUROPA,Pasillo único,Airbus,2055
2016,AIR EUROPA,Pasillo único,Boeing,7611708
2016,AIR EUROPA,Pasillo único,Otros,4754641
2016,AIR FRANCE-KLM GROUP,Doble pasillo,Airbus,1455
2016,AIR FRANCE-KLM GROUP,Doble pasillo,Boeing,2488
2016,AIR FRANCE-KLM GROUP,Pasillo único,Airbus,1399047
2016,AIR FRANCE-KLM GROUP,Pasillo único,Boeing,5532162
2016,AIR FRANCE-KLM GROUP,Pasillo único,Otros,347972
2016,AIRBERLIN GROUP,Doble pasillo,Airbus,75556
2016,AIRBERLIN GROUP,Doble pasillo,Boeing,880
2016,AIRBERLIN GROUP,Pasillo único,Airbus,6968107
2016,AIRBERLIN GROUP,Pasillo único,Boeing,1340451
2016,AIRBERLIN GROUP,Pasillo único,Otros,61362
2016,BINTER CANARIAS,Pasillo único,Airbus,100
2016,BINTER CANARIAS,Pasillo único,Otros,5322751
2016,EASYJET,Doble pasillo,Boeing,750
2016,EASYJET,Pasillo único,Airbus,13825295
2016,EASYJET,Pasillo único,Boeing,357
2016,EASYJET,Pasillo único,Otros,28581
2016,GRUPO IBERIA,Doble pasillo,Airbus,4785762
2016,GRUPO IBERIA,Pasillo único,Airbus,19440543
2016,GRUPO IBERIA,Pasillo único,Boeing,638
2016,GRUPO IBERIA,Pasillo único,Otros,7538573
2016,LUFTHANSA GROUP,Doble pasillo,Airbus,12961
2016,LUFTHANSA GROUP,Doble pasillo,Boeing,7505
2016,LUFTHANSA GROUP,Pasillo único,Airbus,8787894
2016,LUFTHANSA GROUP,Pasillo único,Boeing,161927
2016,LUFTHANSA GROUP,Pasillo único,Otros,177874
2016,RYANAIR GROUP,Pasillo único,Airbus,324
